ID; Beskrivelse; adresse; kvadratmeter; pris;pris per kvadratmeter ; totalpris ; fellesutgifter; megler 
147935138 ; Brensholmen - Delikat og moderne enebolig som sto ferdig i 2013. Fine uteområder. ; Smålia 9, Brensholmen ; 164 m² ; 3650000 kr; 22256 ; EiendomsMegler 1 Rødbanken;0 ; Eier (Selveier) • Enebolig • 3 soverom
164415567 ; Visning 14/4. Lys og trivelig 2-roms leilighet i veldrevet borettslag. Midt mellom sentrum og UNN/UiT. ; Stakkevollvegen 112 B, Tromsø ; 45 m² ; 1698000 kr; 37733 ; Totalpris: 2 099 613 kr ; 6 016 kr ; EiendomsMegler 1 Rødbanken
174528299 ; Visning 14/4. Meget flott 3-roms leilighet på populære Fagereng. Parkering i garasje. Veldrevet borettslag. ; Alaskasvingen 5 C, Tromsø ; 64 m² ; 2990000 kr; 46719 ; Totalpris: 3 550 022 kr ; 7 385 kr ; EiendomsMegler 1 Rødbanken
174633576 ; Tromsdalen - Innholdsrik og flott toppleilighet med integrert garasje i meget barnevennlig boligområde i Tromsdalen. ; Turistvegen 80, Tromsdalen ; 143 m² ; 4990000 kr; 34895 ; Totalpris: 5 115 920 kr ; 705 kr ; EiendomsMegler 1 Rødbanken
174766621 ; Flott enebolig med fantastisk utsikt, garasje og hybel i attraktive Vesterlia. ; Grønlandsvegen 6 A, Tromsø ; 196 m² ; 8600000 kr; 43878 ; Totalpris: 8 816 170 kr;0 ; EiendomsMegler 1 Rødbanken
174611988 ; Stilren og topp moderne leilighet midt i sentrum. Skjermet beliggenhet, god standard og nydelig utsikt. ; Strandskillet 5 E, Tromsø ; 46 m² ; 3150000 kr; 68478 ; Totalpris: 3 229 920 kr ; 2 566 kr ; EiendomsMegler 1 Rødbanken
174950827 ; Salg av kontraktposisjon - Helt ny leilighet med garasje. Påkostet  kjøkken med hvitevarer, baderomsinnredning/dusj og dør mellom entre og stue. ; Elvegata 14 - SOLSEILET - Leilighet 402, Tromsø ; 73 m² ; 4930000 kr; 67534 ; Totalpris: 4 930 000 kr;0 ; EiendomsMegler 1 Rødbanken
174950747 ; Kræmer - Enebolig som ligger sentralt i forhold til sentrum og UNN/UITØ. Boligen har behov for renovering/oppussing. ; Stakkevollvegen 84, Tromsø ; 124 m² ; 3600000 kr; 29032 ; Totalpris: 3 691 170 kr;0 ; EiendomsMegler 1 Rødbanken
174950690 ; Sentrum Nord - Trivelig 2-roms leilighet med god utsikt mot Tromsøsundet,  en liten spasertur unna Tromsø sentrum. ; Seminarbakken 31, Tromsø ; 39 m² ; 2590000 kr; 66410 ; Totalpris: 2 658 637 kr ; 2 319 kr ; EiendomsMegler 1 Rødbanken
174863044 ; Guleng/Godthåp - Prisgunstig 2- roms toppleilighet midt mellom UNN/ UIT og sentrum. ; Stakkevollvegen 114 D, Tromsø ; 45 m² ; 1970000 kr; 43778 ; Totalpris: 2 360 168 kr ; 6 316 kr ; EiendomsMegler 1 Rødbanken
171964582 ; Fagereng - Ny pris! Romslig 3-roms leilighet med parkering i garasje. Vestvendt veranda, kort vei til lysløypa m.m. ; Blårevsvingen 2, Tromsø ; 83 m² ; 2390000 kr; 28795 ; Totalpris: 3 537 223 kr ; 7 988 kr ; EiendomsMegler 1 Rødbanken
168449135 ; Ny pris! - Romslig 3-roms leilighet med fin utsikt, vestvendt veranda og garasje. - IN og sikringsordning ; Storbakkvegen 41, Tromsdalen ; 74 m² ; 2290000 kr; 30946 ; Totalpris: 4 260 344 kr ; 9 771 kr ; EiendomsMegler 1 Rødbanken
174850468 ; Tønsvika - Nyere funkisbolig (2015) m/ utleie og en helt fantastisk utsikt over Tromsøysundet, Kvaløya og Tromsøya. ; Tønsvikvegen 277, Krokelvdalen ; 218 m² ; 7990000 kr; 36651 ; Totalpris: 8 190 800 kr;0 ; EiendomsMegler 1 Rødbanken
174508417 ; Myreng - Trivelig 2-roms hjørneleilighet i 7 etg med fantastisk utsikt- og solforhold. Vinterhage. Heis. Utvendig parkering. ; Prestvannvegen 3, Tromsø ; 48 m² ; 2690000 kr; 56042 ; Totalpris: 2 849 752 kr ; 3 931 kr ; EiendomsMegler 1 Rødbanken
174651491 ; Workinntoppen - Eksklusiv 4-roms selveierleilighet i 6. etg. med panoramautsikt. Stor veranda på 53 kvm og 10 kvm sportsbod. Garasje. ; Workinntoppen 24, Tromsø ; 79 m² ; 6290000 kr; 79620 ; Totalpris: 6 448 420 kr ; 3 459 kr ; EiendomsMegler 1 Rødbanken
174907415 ; Tromsdalen - Unik og moderne 4-roms toppleilighet med god standard. Fantastiske sol- og utsiktsforhold.  Lave fellesutgifter. Garasje ; Skogvegen 10, Tromsdalen ; 111 m² ; 5690000 kr; 51261 ; Totalpris: 5 833 300 kr ; 683 kr ; EiendomsMegler 1 Rødbanken
168543531 ; Stilren og lekker 3-roms andelsleilighet med attraktiv beliggenhet på Strandkanten. ; Hjalmar Johansens gate 304, Tromsø ; 58 m² ; 1090000 kr; 18793 ; Totalpris: 3 290 830 kr ; 14 549 kr ; EiendomsMegler 1 Rødbanken
174904313 ; Lunheim - Attraktiv leilighet i 3. etg. Flott utsikt og god standard. 4 soverom og parkering. Kort vei til barnehage og skole! ; Tomasjordvegen 239, Tomasjord ; 110 m² ; 3300000 kr; 30000 ; Totalpris: 3 839 737 kr ; 7 125 kr ; GARANTI Eiendomsmegling Tromsø
162576739 ; Ny bolig på Hella/Straumsbukta Moderne standard/løsninger. Utsikt til Hella`s svaberg, Rystraumen, sjø og fjell, solrikt ; Straumsvegen 1711, Straumsbukta ; 84 m² ; 3970000 kr; 47262 ; Totalpris: 4 080 220 kr;0 ; Eie Eiendomsmegling Tromsø
167405417 ; GIMLE - 2-roms selveierleilighet med sentral beliggenhet i gangavstand til UNN/UiT!! ; Idunnvegen 9, Tromsø ; 49 m² ; 2590000 kr; 52857 ; Totalpris: 2 668 713 kr ; 2 946 kr ; Sne Eiendomsmegling AS
144203998 ; Storelva - Stilfull enebolig med flotte detaljer. Totalt 4 romslig soverom og utleie. Ferdig oppført i 2016. Carport. ; Mikkelmyra 3, Kvaløya ; 196 m² ; 7190000 kr; 36684 ; Totalpris: 7 371 092 kr;0 ; DNB Eiendom AS
106779405 ; Det gode liv på taket av Tromsø - Solseilet, byens signaturbygg. ; Solseilet - Sentrum Nord, Tromsø ; 35 - 137 m² ; 3400000 - 13400000 kr; 97143 - 97810 ; Totalpris: 3 406 820 - 13 424 850 kr;0 ; EiendomsMegler 1 Rødbanken
174839672 ; Nyere 3-roms beliggende nord i sentrum- direkte adkomst til felles bakgård- god standard - bør ses! ; Seminargata 5, Tromsø ; 45 m² ; 1650000 kr; 36667 ; Totalpris: 2 991 944 kr ; 6 839 kr ; GARANTI Eiendomsmegling Tromsø
167023337 ; Eksklusive rekkehus og tomannsbolig beliggende midt i hjertet av Tromsdalen I 2 SOLGT I Flott utsikt I Gode solforhold I Carport I Barnevennlig ; Myrvegen 109, Tromsdalen ; 106 - 128 m² ; 6190000 - 7290000 kr; 58396 - 56953 ; Eier (Selveier) ; Rekkehus ; Hjem Eiendomsmegling
149946242 ; Erikjord/Berg - Svært påkostet og gjennomført vestvendt enebolig med garasje og mulighet for utleie! ; Erikjordvegen 20, Tromsdalen ; 283 m² ; 10500000 kr; 37102 ; Totalpris: 10 774 650 kr;0 ; GARANTI Eiendomsmegling Tromsø
172789072 ; NY PRIS! Strøken 3-roms selveierleilighet fra 2015 med havutsikt, veranda og garasje. Gangavstand til sentrum. ; Strandvegen 102 G, Tromsø ; 74 m² ; 4275000 kr; 57770 ; Totalpris: 4 383 040 kr ; 3 071 kr ; EiendomsMegler 1 Rødbanken
169739185 ; Mortensnes - Stor enebolig m/ garasje og utleie. Barnevennlig og solrikt område sentralt på Mortensnes. ; Winston Churchills veg 41, Tromsø ; 238 m² ; 7990000 kr; 33571 ; Totalpris: 8 190 800 kr;0 ; EiendomsMegler 1 Rødbanken
164954564 ; Prisgunstige 2 og 3 roms leiligheter. ; Øvre ÅSEN, Tromsdalen ; 33 - 50 m² ; 2190000 - 3290000 kr; 66364 - 65800 ; Totalpris: 2 219 500 - 3 319 500 kr;0 ; EiendomsMegler 1 Rødbanken
106655407 ; MIDTRE KALDSLETT -  4 nye leiligheter med garasjeplass, sportsbod og heis. Leilighetene er ferdig bygget og kan overtas etter avtale. Ta kontakt for privat visning! ; Slipelvvegen 33/35, Tromsdalen ; 112 - 120 m² ; 6590000 - 7690000 kr; 58839 - 64083 ; Totalpris: 6 620 500 - 7 720 500 kr;0 ; DNB Eiendom AS
174657762 ; Sør-Tromsøya - NYHET - Renovert, moderne og innflytningsklar 4-roms selveier med gode solforhold i et familievennlig nabolag! ; Mellomvegen 136, seksjon 2, Tromsø ; 84 m² ; 4790000 kr; 57024 ; Totalpris: 4 911 092 kr;0 ; Sne Eiendomsmegling AS
169089456 ; Visn 7/4. 3-roms toppleilighet med en helt fantastisk utsikt. Garasje og stor terrasse. ; Workinntoppen bygg E3-703, Tromsø ; 77 m² ; 6770000 kr; 87922 ; Totalpris: 6 785 050 kr;0 ; EiendomsMegler 1 Rødbanken
174655734 ; Visn 7/4. Utrolig flott og romslig leilighet med hybel og garasje. Sørvestvendt beliggenhet med 3 terrasser. ; Workinntoppen bygg E3-305, Tromsø ; 115 m² ; 7990000 kr; 69478 ; Totalpris: 8 013 350 kr;0 ; EiendomsMegler 1 Rødbanken
174572924 ; Håpet - Ta kontakt for å avtale visningstidspunkt. Pen 2-roms hjørneleilighet i 5. etg med balkong og utsikt. Heis. ; Winston Churchills veg 86, Tromsø ; 47 m² ; 2060000 kr; 43830 ; Totalpris: 2 487 892 kr ; 7 335 kr ; EiendomsMegler 1 Borettslag Tromsø
147005416 ; Sentrum - Stor prisgunstig 3-roms leilighet i 3 etg, med balkong og heis. ; Storgata 125 H0304, Tromsø ; 66 m² ; 940000 kr; 14242 ; Totalpris: 2 899 426 kr ; 15 316 kr ; Eie Eiendomsmegling Tromsø
174649835 ; KROKEN SØR - Visning onsdag 8/4 kl. 17.00 - 18.00 - Stor og barnevennlig enebolig med garasje på flott utsiktstomt !! ; Turkisvegen 4, Krokelvdalen ; 188 m² ; 7200000 kr; 38298 ; Totalpris: 7 381 342 kr;0 ; Sne Eiendomsmegling AS
174648559 ; TROMSDALEN - Stor og moderne leilighet i 1. etasje med praktisk planløsning og terrasse - Sentralt i Tromsdalen! ; Bjerkengvegen 5, Tromsdalen ; 84 m² ; 4690000 kr; 55833 ; Eier (Selveier) ; Leilighet  ; Sne Eiendomsmegling AS
174572104 ; Stakkevollan - Innholdsrik 4-roms beliggende i fremste rekke på Utsikten!  Stor terrasse! Fantastisk utsikt. Parkering. ; Utsikten 66, Tromsø ; 99 m² ; 3170000 kr; 32020 ; Totalpris: 3 373 441 kr ; 6 552 kr ; EiendomsMegler 1 Borettslag Tromsø
174623009 ; Tromsdalen - Godt vedlikeholdt og pen enebolig med særlig stor hage. Solrikt og stille område. 2 bad, 2 kjøkken, 3 soverom, 3 stuer ; Ringstadvegen 8, Tromsdalen ; 155 m² ; 5990000 kr; 38645 ; Totalpris: 6 141 092 kr;0 ; DNB Eiendom AS
170506898 ; TROMSDALEN - Innholdsrik enebolig med utleieleilighet, carport og flott utsikt over Tromsøysundet! ; Møllervegen 4, Tromsdalen ; 201 m² ; 6640000 kr; 33035 ; Totalpris: 6 817 642 kr;0 ; Sne Eiendomsmegling AS
174612938 ; Tomasjordnes - 3-roms med parkering og utsikt mot nord- Strøm inkl. i felleskostnader - Gode rentebetingelser ; Tomasjordnes 126, Tomasjord ; 48 m² ; 1150000 kr; 23958 ; Totalpris: 2 515 978 kr ; 11 995 kr ; EiendomsMegler 1 Tromsø Strandgata
171567818 ; Tromsdalen - Innholdsrik familiebolig | garasje | Terrasser | 4 soverom | Kjellerstue | Gode solforhold | Hagestue ; Krokvegen 50, Tromsdalen ; 167 m² ; 4930000 kr; 29521 ; Totalpris: 5 072 624 kr;0 ; Hjem Eiendomsmegling
164729401 ; TA KONTAKT FOR VISNING !Romslig 2-roms med vinterhage og parkering i garasje. ; Granittvegen 48, Krokelvdalen ; 54 m² ; 1880000 kr; 34815 ; Totalpris: 2 536 223 kr ; 6 385 kr ; GARANTI Eiendomsmegling Tromsø
174562207 ; Prisgunstig 2-roms med morderniseringsbehov i veletablert og populært borettslag! ; Gneisvegen 163, Krokelvdalen ; 54 m² ; 1690000 kr; 31296 ; Totalpris: 2 138 445 kr ; 5 458 kr ; GARANTI Eiendomsmegling Tromsø
174556204 ; Tromsdalen - Stor og innholdsrik enebolig med 3-roms utleieleilighet. Meget attraktiv beliggenhet. Fantastisk utsikt. Garasje. ; Heggåsvegen 3, Tromsdalen ; 240 m² ; 8990000 kr; 37458 ; Totalpris: 9 215 920 kr;0 ; EiendomsMegler 1 Strandtorget
174555776 ; Krokelvdalen - Selveiet 3- roms front/ hjørneleilighet mot nordvest, med sundet og sola rett inn i vinduet!
Heis og  garasjeplass ; Gullvegen 20, Krokelvdalen ; 78 m² ; 4850000 kr; 62179 ; Totalpris: 4 972 592 kr ; 3 147 kr ; DNB Eiendom AS
174549478 ; Salg av kontraktposisjon - Flott og romslig 3 roms hjørneleilighet med nydelig utsikt mot sentrum/storgata  og har sør/vest vendt beliggenhet. ; Solseilet - Sentrum Nord 705, Tromsø ; 74 m² ; 5640000 kr; 76216 ; Totalpris: 5 654 640 kr;0 ; EiendomsMegler 1 Rødbanken
174546321 ; Norrønna Boligpark - Ny 2-roms leilighet med arealeffektiv planløsning, vestvendt balkong og god standard. (lave.omk.) ; Marmælen G32, Tromsø ; 39 m² ; 2990000 kr; 76667 ; Totalpris: 3 009 876 kr ; 1 067 kr ; DNB Eiendom AS
174541143 ; Krokenstranda / Haveng - Spektakulær frontleilighet i øverste etasje! Fantastisk utsikt, utsøkte solforhold, 100m2 veranda, garasje, heis m.m. ; Gullvegen 22, Krokelvdalen ; 86 m² ; 6600000 kr; 76744 ; Totalpris: 6 771 050 kr ; 3 010 kr ; Hjem Eiendomsmegling
174538937 ; Workinnmarka/Norrøna boligpark - Unik treroms toppetasjeleilighet med nydelig utsikt. Har flere av uteplasser som gir gode solforhold fra morgen til kveld. ; Marmælen H51, Tromsø ; 81 m² ; 8190000 kr; 101111 ; Totalpris: 8 214 809 kr ; 2 507 kr ; DNB Eiendom AS
174529601 ; Tomasjord - Pen og lys enebolig med komplementerende arkitektur i attraktivt boligområde. Flott havutsikt, gode solforhold og stor t ; Tomasjordvegen 131, Tomasjord ; 203 m² ; 7500000 kr; 36946 ; Totalpris: 7 688 842 kr;0 ; DNB Eiendom AS
145099408 ; Ramfjorden - Velkommen til Fagernes/Strandstua, en innholdsrik og stor boligeiendom med flott beliggenhet! ; Fagernesvegen 255, Ramfjordbotn ; 96 m² ; 3600000 kr; 37500 ; Totalpris: 3 702 670 kr;0 ; Hjem Eiendomsmegling
173917166 ; Workinntoppen - Visn 6. april. Eksklusiv 3-roms selveierleilighet, innredet i lekre farger.  Romslig terrasse, 2 sportsboder og garasje. ; Workinntoppen 12, Tromsø ; 63 m² ; 4390000 kr; 69683 ; EiendomsMegler 1 Rødbanken;0 ; Eier (Selveier) • Leilighet • 2 soverom
131304907 ; SKIR - 47 unike leiligheter med strandkantens flotteste beliggenhet, rett ved havet. ; SKIR - BYGG A, Tromsø ; 76 - 158 m² ; 5150000 - 13050000 kr; 67763 - 82595 ; Eier (Selveier) ; Leilighet ; EiendomsMegler 1 Rødbanken
172106729 ; Sentrum - SARAS HAGE -TIL SALGS NÅ! ; Saras Hage/Solseilet, Tromsø ; 42 - 96 m² ; 2890000 - 6490000 kr; 68810 - 67604 ; Totalpris: 2 912 040 - 6 521 490 kr;0 ; EiendomsMegler 1 Rødbanken
174401318 ; Tromsdalen/Reinen - Vertikaldelt bolig på egen tomt - Moderne standard og nydelig utsikt - Beliggende ca. 100 meter fra Reinen skole ; Isbjørnvegen 32, Tromsdalen ; 152 m² ; 5370000 kr; 35329 ; Totalpris: 5 516 920 kr;0 ; Hjem Eiendomsmegling
174442921 ; Oppusset 2-roms leilighet med romslig vestvendt veranda , parkering og nærhet til UiT/UNN! ; Mekanikervegen 8, Tromsø ; 35 m² ; 2300000 kr; 65714 ; Totalpris: 2 414 326 kr ; 1 525 kr ; GARANTI Eiendomsmegling Tromsø
173187790 ; Elverhøy - BUD MOTTATT! Moderne og romslig 4-roms selveier fra 2017, sentralt på Tromsøya, innholdsrike fellesarealer og garasjepla ; Karisvingen 29, Tromsø ; 88 m² ; 4790000 kr; 54432 ; Totalpris: 4 918 320 kr ; 2 909 kr ; GARANTI Eiendomsmegling Tromsø
174425518 ; Krokelvdalen - Meget flott, stilfull og oppgradert 2-roms i fremste rekke med god standard, parkering og vinterhage! ; Gneisvegen 139, Krokelvdalen ; 54 m² ; 2190000 kr; 40556 ; Totalpris: 2 638 446 kr ; 5 638 kr ; GARANTI Eiendomsmegling Tromsø
174419133 ; Sentrum - Bud Mottatt. Husk å avtale visningstid! Spennende og arealeffektiv 2-roms leilighet med hems beliggende i sentrum. ; Storgata 91, Tromsø ; 47 m² ; 3100000 kr; 65957 ; Totalpris: 3 178 842 kr ; 1 892 kr ; DNB Eiendom AS
120287252 ; BJERKAKER VEST - del av Bjerkaker sjøpark - 3 leiligheter klar for innflytting etter avtale. Ta kontakt for privat visning! ; Bjerkaker sjøpark Vest, Tromsø ; 88 - 118 m² ; 2100000 - 4100000 kr; 23864 - 34746 ; Totalpris: 5 276 627 - 10 276 627 kr;0 ; DNB Eiendom AS
174400232 ; Workinnmarka - Pent og praktisk rekkehus i populært boligområde. Barnevennlig, solrikt og rolig område. God planløsning og flott utsikt ; Stubben 16, Tromsø ; 114 m² ; 6100000 kr; 53509 ; Eier (Selveier) ; Rekkehus  ; DNB Eiendom AS
174349392 ; TOPPEN AV TROMSØYA - Tiltalende bolig høy standard i svært attraktivt boområde på toppen av øya - Utsikt, garasje og solrikt! ; Fagerlivegen 34 B, Tromsø ; 93 m² ; 5790000 kr; 62258 ; Totalpris: 5 946 392 kr;0 ; Sne Eiendomsmegling AS
174312320 ; Eneboliger og rekkehus kommer for salg mellom Holt og Fagereng ; Tromsø ; not found ; not found; None ; Eier (Selveier) ; Enebolig, Rekkehus ; PEAB Eiendomsutvikling Nord AS
173875179 ; Tomasjord - Visn Man 06/04 - Romslig  2-roms selveierleilighet med parkering, god utsikts- og solforhold ; Tomasjordvegen 184, Tomasjord ; 52 m² ; 2300000 kr; 44231 ; Totalpris: 2 358 670 kr;0 ; EiendomsMegler 1 Strandtorget
174275316 ; Tomasjordnes 35 - Visn. Man 06/04 - Stilren, moderne og attraktiv 2-roms selveierleilighet fra 2016 ; Tomasjordnes 35, Tomasjord ; 42 m² ; Solgt; None ; Totalpris: 2 655 920 kr ; 2 829 kr ; EiendomsMegler 1 Strandtorget
174263244 ; Påkostet 4-roms rekkehus med god beliggenhet, garasje, vedfyring og bra standard! ; Kvartsvegen 139, Krokelvdalen ; 109 m² ; Solgt; None ; Totalpris: 4 081 003 kr ; 6 903 kr ; GARANTI Eiendomsmegling Tromsø
169532943 ; Ta kontakt for privat visning! Flott seniorleilighet (50+) i rolig boligområde med to soverom, markterrasse og parkering ; Elisestien 41, Tromsdalen ; 82 m² ; 2745000 kr; 33476 ; Totalpris: 3 226 689 kr ; 5 293 kr ; DNB Eiendom AS
144270162 ; SKIR - Nytt byggetrinn med 35 unike leiligheter med strandkantens flotteste beliggenhet, rett ved havet. ; SKIR- BYGG C, Tromsø ; 31 - 80 m² ; 2550000 - 5550000 kr; 82258 - 69375 ; Eier (Selveier) ; Leilighet ; EiendomsMegler 1 Rødbanken
139622048 ; SJØSTIEN - Ny, moderne og lekker toppetasje med stor takterrasse. Tidsriktig leilighet med høy standard og fantastisk utsikt,. Har stor garasjepl. og sportsbod. (lave omk.)  Overtakelse etter avtale. Ta kontakt for privat visning! ; Hamneneset 3 - 5, Tromsø ; 94 m² ; 6650000 kr; 70745 ; Totalpris: 6 676 180 kr;0 ; DNB Eiendom AS
173915832 ; Kroken - Ta kontakt for å avtale visningstidspunkt. Stor 4-roms leilighet med stor veranda. Fast parkeringsplass. ; Malmvegen 218, Krokelvdalen ; 100 m² ; 2780000 kr; 27800 ; Totalpris: 2 998 978 kr ; 5 289 kr ; EiendomsMegler 1 Borettslag Tromsø
174029150 ; SENTRUM - Nyhet! Svært attraktiv eldre bolig med 3 leiligheter, kjeller og garasje - sentral beliggenhet med potensiale! ; Vestregata 38, Tromsø ; 271 m² ; 8100000 kr; 29889 ; Totalpris: 8 314 142 kr;0 ; Sne Eiendomsmegling AS
174005509 ; Grønnåsen - Visn. man 06/04  - Moderne og attraktiv 3-roms toppleilighet med god standard, parkering og eminente utsiktsforhold ; Rødhettestien 5, Tromsø ; 56 m² ; 2390000 kr; 42679 ; Totalpris: 4 179 556 kr ; 10 482 kr ; EiendomsMegler 1 Strandtorget
121161651 ; Velkommen til vakre Workinntoppen; Selveierleiligheter med vestvendt beliggenhet. ; Workinntoppen bygg E3, Tromsø ; 77 - 115 m² ; 6770000 - 8080000 kr; 87922 - 70261 ; Totalpris: 6 785 050 - 8 099 170 kr;0 ; EiendomsMegler 1 Rødbanken
173921372 ; Storelva - Nyrenovert 3-roms i 2 etg med fantastisk utsikt og beliggenhet øverst på Storelva. To terrasser. Garasje. ; Finnsetervegen 25, Kvaløya ; 76 m² ; 2650000 kr; 34868 ; Totalpris: 3 568 024 kr ; 8 580 kr ; EiendomsMegler 1 Rødbanken
174000943 ; SENTRUM NORD - Sentral og lys 2-roms selveierleilighet i veldrevet sameie! ; Storgata 170, Tromsø ; 39 m² ; 2290000 kr; 58718 ; Totalpris: 2 355 692 kr ; 1 056 kr ; Sne Eiendomsmegling AS
174000955 ; SKATTØRA - Stor 3-roms leilighet i fremste rekke med flott utsikt og parkering! ; Skattøra 41, Tromsø ; 84 m² ; 2990000 kr; 35595 ; Totalpris: 3 042 344 kr ; 5 068 kr ; Sne Eiendomsmegling AS
174000938 ; BORGTUN - Nyoppusset selveierleilighet med god standard og stor kjeller, beliggende mellom sentrum og UNN/UiT ; Langsundvegen 31A, Tromsø ; 56 m² ; 2970000 kr; 53036 ; Totalpris: 3 052 692 kr ; 722 kr ; Sne Eiendomsmegling AS
174000878 ; TROMSDALEN - Moderne prosjektert tomannsbolig med garasje, utsikt og mulighet for utleie - Svært attraktivt boligområde! ; Anton Jakobens vei 20A, Tromsdalen ; 247 m² ; 12490000 kr; 50567 ; Eier (Selveier) ; Tomannsbolig  ; Sne Eiendomsmegling AS
174000880 ; TROMSDALEN - Romslig og innholdsrik prosjektert familiebolig med mulighet for utleiedel, fantastisk utsikt og attraktivt boområde! ; Anton Jakobens vei 20B, Tromsdalen ; 236 m² ; 11990000 kr; 50805 ; Eier (Selveier) ; Tomannsbolig  ; Sne Eiendomsmegling AS
174000898 ; Sørtromsøya - Nyhet! Stilren og moderne 4-roms selveierleilighet med meget god standard og parkering! ; Mellomvegen 136, seksjon 1, Tromsø ; 79 m² ; 3850000 kr; 48734 ; Totalpris: 3 954 692 kr;0 ; Sne Eiendomsmegling AS
174000765 ; Fagereng - Fin og lys 3-roms med god planløsning, markerrasse og garasjeplass. Attraktivt boområde. ; Wanny Woldstads veg 29, Tromsø ; 55 m² ; 1790000 kr; 32545 ; Totalpris: 3 333 541 kr ; 8 316 kr ; GARANTI Eiendomsmegling Tromsø
173917166 ; Workinntoppen - Visn 6. april. Eksklusiv 3-roms selveierleilighet, innredet i lekre farger.  Romslig terrasse, 2 sportsboder og garasje. ; Workinntoppen 12, Tromsø ; 63 m² ; 4390000 kr; 69683 ; Totalpris: 4 500 920 kr ; 3 067 kr ; EiendomsMegler 1 Rødbanken
