SEP=,

ID, beskrivelse, adresse, Kvadratmeter, pris, utleier, type bolig , link
100239637,Central apartment -  over 2 floors,Betalt plassering, 85 m²,12 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=100239637,
79412957,Loftsleilighet Storhaug Vest (for en person eller 2 samboere),AVALDSNESGATA  23 -  Stavanger, 35 m²,6 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=79412957,
105666690,Sentral -  moderne leilighet,Siriskjeret -  Stavanger, 59 m²,13 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=105666690,
174941330,Sentral leilighet til leie,Saudagata 47B -  Stavanger, 40 m²,6 500 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174941330,
76511720,Stavanger sentrum,Verven 2B -  Stavanger, 33 m²,9 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=76511720,
174926375,Moderne og møblerte studentboliger. Ledig fra 01.08. Flytt rett inn!,LAGÅRDSVEIEN 61 -  Stavanger, 58 m²,9 695 kr,Frogner House Apartments AS,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174926375,
174921408,Moderne og møblerte studentboliger. Ledig fra 01.08. Flytt rett inn!,LAGÅRDSVEIEN 61 -  Stavanger, 22 m²,6 695 kr,Frogner House Apartments AS,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174921408,
174916458,Moderne og møblerte studentboliger. Ledig fra 01.08. Flytt rett inn!,LAGÅRDSVEIEN 61 -  Stavanger, 18 m²,5 995 kr,Frogner House Apartments AS,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174916458,
174913075,STAVANGER: Flott- og møblert sentrumsnær 2-roms. Ledig nå! (Kampanje),LAGÅRDSVEIEN 61 -  Stavanger, 35 m²,9 360 kr,Frogner House Apartments AS,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174913075,
174912913,STAVANGER: Flott- og møblert sentrumsnær studioleilighet. Ledig nå! (Kampanje),LAGÅRDSVEIEN 61 -  Stavanger, 22 m²,6 750 kr,Frogner House Apartments AS,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174912913,
174900770,Fin leilighet med fantastisk panoramautsikt over Hafrsfjord,GRANNESBAKKEN 60 -  Hafrsfjord, 70 m²,9 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174900770,
72582179,KOSELIG  HYBEL- LEILIGHET STAVANGER SENTRUM,Johannes gt 4 -  Stavanger, 45 m²,7 500 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=72582179,
89676416,Lekker -  fullt møblert hjørneleilighet i Bjergsted,Sverdrupsgate 46 -  Stavanger, 56 m²,10 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=89676416,
77902829,Nydelig ende rekkehus sentralt på Hinna.,Austunsletta 96 -  Stavanger, 130 m²,16 000 kr,Privat,Rekkehusfinn.no/realestate/lettings/ad.html?finnkode=77902829,
100757624,Nyoppusset -  moderne og lys anneks-lelighet over to plan til leie fra mai,Husabergbakken 39 -  Stavanger, 50 m²,12 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=100757624,
174855029,Hinna - Ny -  romslig og lekker leilighet - 2 soverom  - Høy standard - Kabeltv og  bredbånd inkludert,Solliveien 14A -  Stavanger, 70 m²,12 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174855029,
151864214,Leilighet i sentralt område -  nær sjø og friluftsområder,Søre Ramsvigvei 35D -  Stavanger, 31 m²,7 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=151864214,
174838696,Sentrumsnær leilighet på Storhaug tilleie,Storhaugveien 16 A -  Stavanger, 52 m²,10 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174838696,
111527980,Apartment with 2 bedrooms -  great view over the sea and terrace,DUSAVIKVEIEN 112 -  Stavanger, 71 m²,11 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=111527980,
87811044,Koselig Hybel sentralt i Stavanger til leie,Stavanger, 20 m²,6 200 kr,Privat,Hybelfinn.no/realestate/lettings/ad.html?finnkode=87811044,
145369077,Koselig leilighet i 2. etasje -  2 (3) soverom -  to stuer -  sentralt,Nymansveien 130 -  Stavanger, 84 m²,12 500 kr,Privat,Tomannsboligfinn.no/realestate/lettings/ad.html?finnkode=145369077,
174806647,Lekker 5-roms leilighet til leie,STØLSTUNET 44 -  Stavanger, 105 m²,5 500 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=174806647,
149770144,Sentrum - moderne og fullt møblert leilighet med balkong,Verven 2A -  Stavanger, 32 m²,10 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=149770144,
174806429,Meget sjarmerende enebolig med egen terrasse og skjermet hage,Nedre Dalgate 21 -  Stavanger, 58 m²,12 000 kr,Utleiemegleren Stavanger,Eneboligfinn.no/realestate/lettings/ad.html?finnkode=174806429,
174803319,Moderne rekkehus til leie på Stokka - Kan leies møblert/umøblert.,Konvallstien 3 -  Stavanger, 165 m²,25 000 kr,Utleiemegleren Stavanger,Rekkehusfinn.no/realestate/lettings/ad.html?finnkode=174803319,
174777545,Storhaug - Hybel til leie,Langgata 57 -  Stavanger, 25 m²,4 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174777545,
103091690,Fin leilighet på Vaulen,Stavanger, 50 m²,6 500 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=103091690,
174772725,Stavanger Øst/Lervig - Ny 2-romsleilighet. Balkong (2. et.). Parkering. Møblert.,Lervigbrygga 1 -  Stavanger, 50 m²,11 500 kr,DREYER BOLIG AS,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174772725,
128276210,Fullt møblert -  ledig rom til 4500 - - i koselig og sentrumsnært jentekollektiv!,Schives gate 12 -  Stavanger, 8 m²,4 500 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=128276210,
174769102,Supersentral 2-roms med innendørs garasjeplass -  balkong og heis. Meget gode kollektivforbindelser!,Engelsminnegata 16B -  Stavanger, 44 m²,10 900 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174769102,
105296561,Stor og flott 3 roms leilighet i attraktivt område,MISJONSVEIEN 9 A -  Stavanger, 84 m²,10 900 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=105296561,
174746242,Nyrenovert og fin sokkelleilighet på Øvre Vaulen,HINDALSBAKKEN 27 -  Stavanger, 31 m²,7 500 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174746242,
95381221,Jentekollektiv Tjensvoll -  1 rom ledig,Gunnar Warebergsgate 56 -  Stavanger, 15 m²,5 250 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=95381221,
174716052,Sokkel leilighet til leie sentralt i Hillevåg,KVALEBERGVEIEN 26 -  Stavanger, 56 m²,7 500 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174716052,
174367173,Stor 3-roms smart-leilighet på forus,Duberget 11A -  Stavanger, 100 m²,13 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174367173,
174713756,Rom i veldig rolige område med fin utsikt,Stavanger, 20 m²,4 000 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=174713756,
174702354,Ny og pen leilighet ved studentleilighetene -  Sandal vest.,Fasanveien 18 -  Hafrsfjord, 45 m²,7 500 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174702354,
128093380,1 ledig rom i superfin leilighet sentralt i Stavanger,ØVRE JÆRGATE 39 -  Stavanger, 12 m²,4 800 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=128093380,
78350614,Stavanger Sentrum / Våland med 2 soverom,MUSEGATA 42 -  Stavanger, 80 m²,10 500 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=78350614,
98196091,Student-hybel -  rolig område -  nær sentrum -  buss og tog.,Møllegt 89 -  Stavanger, 21 m²,5 800 kr,Privat,Hybelfinn.no/realestate/lettings/ad.html?finnkode=98196091,
114900023,Fin leilighet på Auglend/ Mariero. Strøm -  kabel tv og internet inkludert i månedsleie.,Stavanger, 53 m²,6 500 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=114900023,
174644606,Hybelleilighet i sentrum - Møblert - strøm inkludert.,Verven 38  -  Leilighet 517 -  Stavanger, 23 m²,8 000 kr,Utleiemegleren Stavanger,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174644606,
174639046,Helt ny 3-roms leilighet- 2 nye leiligheter er ledig nå - høy standard - parkering - takterrasse- møblering etter avtale.
Pris : 15 900 og opp.,Musegata 74 - Leilighet 202 -  Stavanger, 72 m²,16 900 kr,Utleiemegleren Stavanger,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174639046,
74462290,Stor og lys leilighet med 3 soverom til utleie - TV og Internett inkl,GRØDEMTUNET 22 -  Stavanger, 94 m²,11 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=74462290,
42456439,Lys og pen leilighet i sentrum,Olav Kyrresgt 18 -  Stavanger, 78 m²,10 500 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=42456439,
174534397,Laberget - Flott romslig leilighet i øverste etasje med 2 soverom og sjøutsikt. Fullt møblert. / Nice apartment in top floor with 2 bedrooms. Fully furnished. Sea view.,Laberget 74 -  H0401 -  Stavanger, 81 m²,14 000 kr,EiendomsMegler 1 Boligutleie,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174534397,
174501501,Bjergsted - Toppleilighet med  flott utsikt - 3 soverom /  Penthouse apartment with beautiful sea view - 3 bedrooms,Byfjordparken 6 H0601 -  Stavanger, 126 m²,28 000 kr,EiendomsMegler 1 Boligutleie,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174501501,
174606066,GAUSEL- Lekker -  møblert enebolig med 5 soverom -  2 bad -  2 stuer - Hage - Modern -  furnished house - 200 meters from the British School,Dykjelsletta 34 -  Stavanger, 195 m²,28 000 kr,Utleiemegleren Stavanger,Eneboligfinn.no/realestate/lettings/ad.html?finnkode=174606066,
135738070,Kjeller leilighet med 2 soverom-delvis møblert -  sentral beliggenhet,lyngnesveien 13 b -  Stavanger, 70 m²,10 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=135738070,
174598833,Saxemarka - rom i koselig jentekollektiv ledig fra juni,LEIF DIETRICHSONS GATE 14 -  Stavanger, 10 m²,4 700 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=174598833,
85373174,HINNA PARK -  LEILIGHET TIL LEIE I PARKEN PANORAMA,Laberget 76 -  Stavanger, 31 m²,9 500 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=85373174,
174297127,Leilighet i Stavanger sentrum med 4 soverom,Betalt plassering, 95 m²,14 000 kr,Centrum Apartments AS,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174297127,
174591228,Storhaug vest -  Ny 2-roms med hvitevarer.,Kristine Berges vei 12 -  sokkel -  Stavanger, 43 m²,8 500 kr,Utleiemegleren Stavanger,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174591228,
79642640,FULLY FURNISHED APARTMENT IN CENTRAL LOCATION WITH DIRECT BUSCONNECTION TO FORUS,ØVRE SANDVIKVEIEN 12 A -  Stavanger, 64 m²,10 800 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=79642640,
174554152,Arkitekt tegnet leilighet til leie,Stavanger, 82 m²,15 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174554152,
70724904,KOOOOOSELIG SENTRAL LEILiGHET,kong oscarsgate 4 -  Stavanger, 70 m²,8 500 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=70724904,
97764912,Sokkelleilighet til leie nær BI,ØVRE TASTASJØEN 18 -  Stavanger, 50 m²,9 500 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=97764912,
153715741,Stilig leilighet i populære blokker,MISJONSVEIEN 2 B -  Stavanger, 75 m²,15 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=153715741,
75767664,Koselig og møblert leilighet på beste Stokka til leie,HANS GUDES VEI 24 -  Stavanger, 42 m²,8 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=75767664,
174506456,Mosterøy - Arkitekttegnet funkisvilla med 5 soverom i landlige omgivelser / Architect designed villa with 5 bedrooms in rural surroundings,Hodnafjellveien 23 -  Mosterøy, 199 m²,25 000 kr,EiendomsMegler 1 Boligutleie,Eneboligfinn.no/realestate/lettings/ad.html?finnkode=174506456,
174352975,Kjekk del av tomannsbolig. Umøblert med 2 soverom / Nice part of a semi-detatched house. Unfurnished with 2 bedrooms.,Utleid, 100 m²,Utleid,EiendomsMegler 1 Boligutleie,Tomannsboligfinn.no/realestate/lettings/ad.html?finnkode=174352975,
174514720,Enebolig med 4 soverom og stor hage til leie,Sjøveien 19 -  Rennesøy, 145 m²,12 500 kr,Privat,Eneboligfinn.no/realestate/lettings/ad.html?finnkode=174514720,
174503507,Loftsleilighet med to soverom -  god takhøyde og flott utsikt,SIGURDS GATE 1 C -  Stavanger, 40 m²,9 500 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174503507,
99914287,Hybel i Ullandhaugskråningen,PEER GYNTS VEI 5 -  Stavanger, 22 m²,5 500 kr,Privat,Hybelfinn.no/realestate/lettings/ad.html?finnkode=99914287,
174507080,Sunde - Lekker bolig med 3-4 soverom - Carport - Utsikt mot Hafrsfjord,Rytterfaret 24 -  Hafrsfjord, 171 m²,18 000 kr,Utleiemegleren Stavanger,Rekkehusfinn.no/realestate/lettings/ad.html?finnkode=174507080,
89310012,Lys fin Leilighet -  Revheimsveien 124B,REVHEIMSVEIEN 124 B -  Hafrsfjord, 55 m²,7 500 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=89310012,
174506427,Lys og fin 2- roms leilighet nær sentrum- Møblert- Kabeltv og bredbånd inkludert,Stubben 7A -  Stavanger, 35 m²,7 900 kr,Utleiemegleren Stavanger,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174506427,
130634067,Sagafjords vei 129 B,Sagafjordsvei 129 B -  Hundvåg, 52 m²,9 500 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=130634067,
174481894,Liten leilighet til leie på Hinna,Hordaveien -  3 -  Stavanger, 40 m²,7 500 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174481894,
174477021,Svært sentralt rom i bofellesskap,PEDERSGATA 135 -  Stavanger, 11 m²,4 500 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=174477021,
122473010,Ny familiebolig på øvre Vaulen/New 5 bedroom house at Vaulen,LALLA CARLSENS GATE 9A -  Stavanger, 186 m²,27 000 kr,Privat,Eneboligfinn.no/realestate/lettings/ad.html?finnkode=122473010,
174433877,Balkong -  Sjøutsikt -  Nye møbler og inventar -  Sentralt -  Toppetasje -  Høy standard -  Møblert,VERVEN 2 B -  Stavanger, 40 m²,10 800 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174433877,
142515774,Gausel; fully furnished -  145m²  -  3(4) bedrooms -  close to NATO -  BISS -  Hinna Park,Westergårdveien 6C -  Stavanger, 145 m²,19 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=142515774,
66034170,Rom -  sentralt Stavanger inkl. Strøm,KIRKEBAKKEN 18 -  Stavanger, 10 m²,3 800 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=66034170,
77057445,Hinna Sentralt -  2 min til buss stoppen og universitet i Stavanger,VÅGEDALEN 6 F -  Stavanger, 10 m²,4 000 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=77057445,
174444448,Rom ledig i lite jentekollektiv - Sentral beliggenhet -  flott leilighet,Nedre Banegate -  Stavanger, 16 m²,6 500 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=174444448,
135644204,Kjellerleilighet til leie sentralt på Gausel,Sølvperleveien 42 -  Stavanger, 56 m²,8 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=135644204,
76970874,ROM LEDIG  Pris inkl strøm -  Internett -  parkering. Veldig rolig og ryddig plass.,JÅTTÅVEIEN 53 -  Stavanger, 10 m²,3 500 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=76970874,
99559045,Flott topp- og endeleilighet med strålende utsikt og gode solforhold,Rytterhøyden 6 -  Hafrsfjord, 51 m²,10 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=99559045,
93595845,Leilighet for 1 person ledig Kr. 8000.- inkl. strøm,SKOGSTØVEIEN 36 -  Stavanger, 40 m²,8 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=93595845,
174415214,Sjarmerende leilighet med 1-2 soverom i Stavanger sentrum,Olavskleivå 29 -  Stavanger, 53 m²,8 500 kr,Utleiemegleren Stavanger,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174415214,
174399160,VERVEN-  2 romsleilighet til korttidsleie,Verven 10 -  Stavanger, 73 m²,20 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174399160,
173813093,BJERGSTED - Flott 3-roms leilighet med svært god standard til leie - Fullt møblert - Parkering,SVERDRUPS GATE 34 -  Stavanger, 63 m²,12 750 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=173813093,
76888153,Bo sentralt på Storhaug med rask wi-fi,LANGGATA 74 -  Stavanger, 46 m²,9 400 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=76888153,
158187503,Lervig Brygge Pluss - Nyere leilighet i 10 etg. med fantastisk utsikt i et maritimt miljø,Lervigbrygga 128 -  Stavanger, 69 m²,15 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=158187503,
151820752,STAVANGER ØST Breivikveien 31A Flott umøblert 3-roms leilighet med god standard og fast parkering.,BREIVIKVEIEN 13 -  Stavanger, 68 m²,14 500 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=151820752,
152475988,Møblert leilighet i Stavanger Øst,BREIVIKVEIEN 17 -  Stavanger, 34 m²,8 500 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=152475988,
174388519,Lekker enebolig sentralt i Gamle Stavanger -2 soverom - møblert,Øvre Strandgate 84 -  Stavanger, 75 m²,13 750 kr,Utleiemegleren Stavanger,Eneboligfinn.no/realestate/lettings/ad.html?finnkode=174388519,
174384456,Rom til leie i bofellesskap -  sentralt,Tjensvolltorget 6 -  Stavanger, 60 m²,5 000 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=174384456,
174246004,Møblert -  høy standard -  rolig nabolag -  parkering -  nærhet til tur- og badeområde,Ramsvigstien 5B -  Stavanger, 70 m²,11 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174246004,
123153047,Lervig Brygge Pluss- Flott leilighet i 10. etasje,Lervigbrygga 128 H1003 -  Stavanger, 50 m²,12 500 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=123153047,
174368235,Leilighet til leie i Bjergsted,Tastagata 29 -  Stavanger, 100 m²,12 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174368235,
100239637,Central apartment -  over 2 floors,LOSOLDERMANN NATVIGS VEI 4 -  Stavanger, 85 m²,12 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=100239637,
93457495,Leilighet ved Stokkavannet,LARS UTNES VEI 3 -  Stavanger, 50 m²,7 500 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=93457495,
174363331,Kort og langtidsleie for firma fra 550 - - per døgn,TRAVBANEVEIEN 1 -  Stavanger, 100 m²,1 kr,City Housing AS,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174363331,
174362747,Kort og langtidsleie for firma fra 550 - - per døgn,TRAVBANEVEIEN 1 -  Stavanger, 50 m²,1 kr,City Housing AS,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174362747,
174360002,Kort og langtidsleie for firma fra 550 - - per døgn,jåttåvågveien 20b -  Stavanger, 100 m²,1 kr,City Housing AS,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174360002,
174359440,Kort og langtidsleie for firma fra 550 - - per døgn,Jåttåvågveien 20b -  Stavanger, 50 m²,1 kr,City Housing AS,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174359440,
144502931,TIL LEIE! Fin -  vestvendt leilighet i rolig strøk -  sentralt,HJELMELANDSGATA 47 -  Stavanger, 55 m²,8 500 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=144502931,
174358975,Kort og langtidsleie for firma fra 550 - - per døgn,BERGELANDSGATA 13 -  Stavanger, 100 m²,1 kr,City Housing AS,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174358975,
174357156,Kort og langtidsleie for firma fra 550 - - per døgn*,BERGELANDSGATA 13 -  Stavanger, 50 m²,16 000 kr,City Housing AS,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174357156,
